transaction_id,card_id,timestamp,amount,merchant_category,country,card_present,is_fraud
txn_0000000,card_00594,2026-01-03T22:10:05Z,14.46,electronics,US,True,False
txn_0000001,card_00594,2026-01-09T08:35:21Z,7.02,travel,DE,True,False
txn_0000002,card_00162,2026-01-21T17:00:59Z,581.47,atm_withdrawal,GB,True,True
txn_0000003,card_00359,2026-01-13T06:42:47Z,111.49,travel,US,False,False
txn_0000004,card_00822,2026-01-18T07:54:19Z,212.41,online_retail,IN,False,False
txn_0000005,card_00597,2026-01-13T20:54:16Z,119.2,utilities,SG,True,False
txn_0000006,card_00188,2026-01-17T05:54:57Z,154.27,fuel,DE,False,False
txn_0000007,card_00866,2026-01-25T10:54:04Z,20.98,fuel,SG,True,False
txn_0000008,card_00120,2026-01-08T20:56:19Z,91.52,restaurant,AE,True,False
txn_0000009,card_00714,2026-01-29T18:02:24Z,42.18,electronics,DE,True,False
txn_0000010,card_00803,2026-01-20T19:54:31Z,149.9,grocery,GB,False,True
txn_0000011,card_00383,2026-01-26T19:23:16Z,4.77,restaurant,AE,True,False
txn_0000012,card_00789,2026-01-20T07:11:51Z,5.76,online_retail,AE,True,False
txn_0000013,card_00307,2026-01-01T05:56:48Z,190.02,fuel,US,False,False
txn_0000014,card_00798,2026-01-17T07:59:24Z,198.86,pharmacy,IN,True,False
txn_0000015,card_00778,2026-01-16T22:29:10Z,176.27,atm_withdrawal,AE,False,False
txn_0000016,card_00082,2026-01-13T11:49:51Z,61.99,grocery,GB,True,False
txn_0000017,card_00465,2026-01-20T22:58:10Z,30.35,travel,DE,False,False
txn_0000018,card_00358,2026-01-22T17:43:26Z,36.28,online_retail,DE,True,False
txn_0000019,card_00280,2026-01-08T10:36:26Z,17.94,electronics,US,True,False
txn_0000020,card_00827,2026-01-10T23:21:00Z,72.17,atm_withdrawal,DE,True,False
txn_0000021,card_00832,2026-01-02T09:12:08Z,13.09,grocery,SG,True,False
txn_0000022,card_00524,2026-01-06T02:07:26Z,31.46,utilities,US,True,False
txn_0000023,card_00409,2026-01-07T09:28:16Z,35.06,online_retail,DE,True,False
txn_0000024,card_00222,2026-01-07T16:49:41Z,175.1,online_retail,DE,True,False
txn_0000025,card_00198,2026-01-08T11:10:27Z,56.82,utilities,DE,True,False
txn_0000026,card_00712,2026-01-27T14:12:03Z,49.29,travel,GB,False,False
txn_0000027,card_00740,2026-01-08T07:49:37Z,31.42,entertainment,US,True,False
txn_0000028,card_00555,2026-01-15T13:03:08Z,116.07,fuel,GB,False,False
