transaction_id,card_id,timestamp,merchant_category,card_present,is_fraud,device_fingerprint,country_code,amount_minor_units
txn_0000500,card_00206,2026-01-28T03:18:08Z,fuel,True,False,dev_003829,AE,22353
txn_0000501,card_00689,2026-01-08T08:34:08Z,utilities,False,False,dev_001580,DE,3474
txn_0000502,card_00568,2026-01-30T18:32:10Z,pharmacy,True,False,dev_004944,IN,4901
txn_0000503,card_00341,2026-01-14T05:36:06Z,grocery,False,False,dev_003265,GB,13598
txn_0000504,card_00895,2026-01-24T09:00:51Z,travel,False,False,dev_003327,GB,15455
txn_0000505,card_00099,2026-01-04T07:16:22Z,pharmacy,False,False,dev_004564,DE,25610
txn_0000506,card_00709,2026-01-12T16:52:57Z,online_retail,True,False,dev_000628,SG,32519
txn_0000507,card_00186,2026-01-26T09:48:29Z,electronics,False,False,dev_004007,GB,30842
txn_0000508,card_00775,2026-01-29T10:39:09Z,fuel,True,False,dev_004332,AE,23861
txn_0000509,card_00597,2026-01-24T10:53:38Z,pharmacy,False,False,dev_004851,GB,4891
txn_0000510,card_00245,2026-01-12T07:48:38Z,atm_withdrawal,False,False,dev_000021,GB,3762
txn_0000511,card_00852,2026-01-19T04:55:13Z,online_retail,False,False,dev_002481,SG,7814
txn_0000512,card_00668,2026-01-09T00:05:40Z,electronics,False,False,dev_004831,DE,6436
txn_0000513,card_00659,2026-01-22T05:00:44Z,grocery,True,False,dev_001860,IN,3894
txn_0000514,card_00006,2026-01-12T23:53:13Z,travel,True,False,dev_003905,DE,3942
txn_0000515,card_00871,2026-01-07T08:10:12Z,entertainment,False,False,dev_001242,GB,6608
txn_0000516,card_00375,2026-01-02T11:18:16Z,fuel,False,False,dev_003605,GB,311
txn_0000517,card_00507,2026-01-08T12:24:09Z,pharmacy,False,False,dev_000603,SG,1779
txn_0000518,card_00540,2026-01-11T11:33:02Z,fuel,True,False,dev_000200,IN,6275
txn_0000519,card_00340,2026-01-16T13:29:58Z,entertainment,False,False,dev_004578,IN,28727
txn_0000520,card_00416,2026-01-04T10:44:03Z,utilities,True,False,dev_001862,GB,2885
txn_0000521,card_00359,2026-01-26T04:05:45Z,utilities,True,False,dev_002766,DE,1207
txn_0000522,card_00690,2026-01-14T06:19:24Z,online_retail,True,False,dev_002535,SG,23427
txn_0000523,card_00673,2026-01-26T17:06:11Z,entertainment,False,False,dev_004039,IN,3795
txn_0000524,card_00877,2026-01-30T20:25:09Z,travel,False,False,dev_001474,IN,5540
txn_0000525,card_00388,2026-01-25T14:29:33Z,restaurant,True,False,dev_000499,DE,11609
txn_0000526,card_00722,2026-01-13T02:58:49Z,travel,False,False,dev_002678,AE,2338
txn_0000527,card_00417,2026-01-08T14:10:53Z,travel,False,False,dev_003605,SG,12545
txn_0000528,card_00055,2026-01-16T05:11:13Z,travel,False,False,dev_002750,SG,4549
txn_0000529,card_00819,2026-01-26T06:14:49Z,atm_withdrawal,False,False,dev_001073,AE,3712
txn_0000530,card_00167,2026-01-11T00:55:31Z,fuel,True,False,dev_002958,AE,965
txn_0000531,card_00660,2026-01-08T18:11:44Z,electronics,False,False,dev_003558,DE,10538
txn_0000532,card_00730,2026-01-19T16:26:39Z,entertainment,False,False,dev_001004,AE,26855
txn_0000533,card_00509,2026-01-08T03:34:20Z,electronics,False,False,dev_001150,IN,5630
txn_0000534,card_00650,2026-01-02T23:24:52Z,atm_withdrawal,True,False,dev_003775,GB,42406
txn_0000535,card_00469,2026-01-07T00:33:32Z,utilities,True,False,dev_002201,SG,9758
txn_0000536,card_00443,2026-01-29T10:13:03Z,grocery,True,False,dev_004118,AE,10932
txn_0000537,card_00329,2026-01-08T04:37:46Z,restaurant,True,False,dev_003979,IN,15634
txn_0000538,card_00584,2026-01-02T12:16:39Z,travel,False,False,dev_004989,IN,1261
txn_0000539,card_00689,2026-01-27T02:57:52Z,utilities,False,False,dev_004626,IN,7814
txn_0000540,card_00240,2026-01-30T16:33:55Z,utilities,False,False,dev_004594,IN,8404
